time,value_sales_in_ths,vol_sales_in_tonnes,dealers,avg_no_of_Items_per_store,wtd,numd,dqi,dqi_ma2,dqi_ma3,dqi_ma4,dqi_ma5,dqi_ma6,average_price,average_price_ma2,average_price_ma3,average_price_ma4,average_price_ma5,average_price_ma6,hsm_mean_temp,cp_spends_cr,tp_spends_cr,promotion_spends,tv_spends,tv_grps,print_spends,print_spends_ma2,print_spends_ma3,print_spends_ma4,print_spends_ma5,print_spends_ma6,print_insertions,fb_clicks,fb_impressions,fb_spends,youtube_clicks,youtube_impressions,youtube_spends,insta_spends,insta_clicks,insta_impressions,google_search,google_search_spends,digital_spends,fb_yt_insta_spends,Comp_v_dealers,Comp_v_avg_no_of_Items_per_store,Comp_v_wtd,Comp_v_numd,Comp_v_tv_spends,Comp_v_tv_grps,Comp_v_print_spends,Comp_v_print_insertions,Comp_w_dealers_ths,Comp_w_avg_no_of_Items_per_store,Comp_w_wtd,Comp_w_numd,Comp_w_tv_spends,Comp_w_tv_grps,Comp_w_print_spends,Comp_w_print_insertions,Comp_x_dealers_ths,Comp_x_avg_no_of_Items_per_store,Comp_x_wtd,Comp_x_numd,Comp_x_tv_spends,Comp_x_tv_grps,Comp_x_print_spends,Comp_x_print_insertions,Comp_x1_dealers_ths,Comp_x1_avg_no_of_Items_per_store,Comp_x1_wtd,Comp_x1_numd,Comp_x1_tv_spends,Comp_x1_tv_grps,summer_dummy,monsoon_dummy,winter_dummy,autumn_dummy,autumn_dummy_2022,winter_dummy_2022,winter_dummy_2023,winter_dummy_2024,autumn_dummy_2021,autumn_dummy_2022
8/1/2021,640622.886,1449.088,2009716.478,3.278,73.304,36.252,2.022067748,2.022067748,2.022067748,2.022067748,2.022067748,2.022067748,442.0869443,442.0869443,442.0869443,442.0869443,442.0869443,442.0869443,27.05,2.592476886,2.768527454,5.36100434,14139210.62,161.91,645000,645000,645000,645000,645000,645000,2,14037.5,23349672.5,394071.04,14990.5,1483016,179455.5,450374.51,24362,25678067.5,0,0,1023901.05,1023901.05,2212513.406,2.794,67.043,39.91,15129753.4,186.07,24176007.29,24,3336346.43,2.537,84.405,60.182,45024408.41,507.79,5607204,4,1610351.217,3.961,68.315,29.048,0,0,2353226.588,7,1011629.74,3.345,56.77,18.248,67773444.07,666.17,0,1,0,0,0,0,0,0,0,0
9/1/2021,572155.423,1297.226,2006736.207,3.281,73.124,36.197,2.020167417,2.021117583,2.020167417,2.020167417,2.020167417,2.020167417,441.0607119,441.5738281,441.0607119,441.0607119,441.0607119,441.0607119,27.85,1.374925259,2.243386884,3.618312143,11400938.68,117.1,2894117.647,1769558.824,2894117.647,2894117.647,2894117.647,2894117.647,5,21281.5,6042108.5,121665.525,73751,9537808,861098.6504,157975.475,3319.5,10036176,0,0,1140739.65,1140739.65,2212755.818,2.693,65.02,39.913,24145594.99,299.68,8410746.588,10,3331949.246,2.458,83.805,60.101,0,0,0,0,1621937.079,3.845,68.321,29.256,0,0,7744503.765,22,1032313.68,3.241,56.889,18.621,2594607.059,27.61,0,0,0,1,0,0,0,0,0,0
10/1/2021,601979.786,1373.383,2007040.249,3.204,72.903,36.107,2.019082172,2.019624795,2.020439113,2.019082172,2.019082172,2.019082172,438.3189438,439.6898278,440.4888667,438.3189438,438.3189438,438.3189438,27.7,1.557441825,2.653031537,4.210473362,20582493.88,160.78,0,1447058.824,1179705.882,0,0,0,0,20038,4468741,126415.76,35268,6033314,603401,273584.24,4351,10992907,0,0,1003401,1003401,2204058.018,2.696,66.381,39.652,0,0,10065035.76,12,3378608.947,2.461,84.623,60.782,42247211.59,552.24,8726009.412,11,1627465.667,3.791,69.956,29.279,0,0,3135912,8,1019828.54,3.21,56.709,18.347,65862538.9,631.39,0,0,0,1,0,0,0,0,1,0
11/1/2021,613241.247,1398.201,1991031.771,3.376,73.644,35.849,2.054283244,2.036682708,2.031177611,2.024873208,2.054283244,2.054283244,438.5930542,438.455999,439.3242366,440.7401899,438.5930542,438.5930542,22.3,1.342727731,2.181547673,3.524275404,15321363.54,129.12,0,0,964705.8824,884779.4118,0,0,0,13346,20606498,300854.84,56713,7844563,747589.056,1148732.27,37742,71208652,0,0,2197176.166,2197176.166,2236458.282,2.703,67.042,40.268,17212917.49,264.96,12951943.29,11,3419607.107,2.501,84.991,61.57,50738254.21,716.04,4180622.353,6,1658556.656,3.892,71.377,29.862,0,0,4862784,9,1021900.934,3.365,57.887,18.399,612564.7059,8.99,0,0,0,0,0,0,0,0,1,0
12/1/2021,609706.285,1391.956,1975963.593,3.301,72.72,35.491,2.048970161,2.051626703,2.040778526,2.032262947,2.032914149,2.048970161,438.0212341,438.3071442,438.3110774,439.7962231,439.6161777,438.0212341,18.9,1.969011124,2.145773416,4.11478454,21944000.96,208.5,3542400,1771200,1180800,1609129.412,1416303.529,3542400,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2251998.745,2.628,66.412,40.449,62990683.38,506.64,16040493.65,25,3397482.907,2.55,84.607,61.023,41613951.13,492.41,0,0,1665649.505,3.905,71.393,29.917,0,0,14457935.06,23,1022671.231,3.406,57.946,18.369,64364388.88,693.85,0,0,0,0,0,0,0,0,1,0
1/1/2022,587938.517,1351.397,1981035.046,3.202,72.281,35.565,2.032363279,2.04066672,2.045205561,2.037150231,2.034973255,2.032822337,435.0598063,436.5405202,437.2246982,438.8372197,438.2107501,438.8567824,15.25,0.950120982,1.806991865,2.757112847,5342962.15,12.66,0,1771200,1180800,885600,1287303.529,14788494.97,0,54992,31883618,200000,19954,10963531,200019.2491,525542.335,16607.5,53049336.5,0,0,925561.5841,925561.5841,2223783.511,2.683,66.378,39.924,20351755.1,299.14,2156247.529,3,3394376.21,2.548,84.237,60.939,93623833.91,683.41,0,0,1670751.864,3.765,71.889,29.995,0,0,3513203.294,5,1017674.068,3.419,57.485,18.27,29662143.68,326,0,0,0,0,0,1,0,0,0,0
2/1/2022,544021.948,1250.424,1951027.457,3.191,71.895,35.032,2.052266499,2.042314889,2.044533313,2.042822755,2.041393071,2.037855462,435.0699827,435.0648945,436.050341,437.7275883,437.0126042,437.6872888,16.95,1.895574889,2.679680093,4.575254982,0,0,0,0,1180800,885600,708480,12431959.87,0,0,0,0,0,0,0,48742.02,736,2908237,0,0,48742.02,48742.02,2189494.806,2.719,66.689,39.314,12560129.71,182.48,15776295.76,17,3374326.252,2.552,84.476,60.589,80376350.65,590.19,0,0,1656697.773,3.715,71.894,29.747,0,0,0,0,1012048.417,3.271,57.096,18.172,37081480.19,370.18,0,0,0,0,0,1,0,0,0,0
3/1/2022,585681.41,1357.82,1949129.287,3.226,71.428,34.792,2.05300069,2.052633595,2.045876823,2.046810476,2.048176775,2.043327674,431.3395074,433.2047451,433.8230988,436.3523039,435.6167169,436.0670881,21.05,3.093457853,2.496021087,5.58947894,3507103.98,91.67,590400,295200,196800,1033200,826560,11116320.75,5,27,5884661,200000,22548,4099586,514742,499999.94,8128,13383154,0,0,1214741.94,1214741.94,2197552.912,2.891,66.045,39.226,33275788.93,440.36,23201757.65,34,3416768.762,2.584,84.734,60.989,0,0,0,0,1663698.344,3.921,71.583,29.697,3160200,34.77,0,0,1014937.857,3.255,57.071,18.117,29416195.29,273.05,0,0,0,0,0,0,0,0,0,0
4/1/2022,580305.276,1347.314,1955229.155,3.137,71.706,34.841,2.058092477,2.055546584,2.054453222,2.047790447,2.048938621,2.049829392,430.7127188,431.0261131,432.3740696,434.8680519,434.0406499,434.7993839,31,3.504151782,1.891858231,5.396010013,0,0,1094400,842400,561600,421200,1045440,7685905.105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2188930.26,2.935,65.582,39.005,12486427.08,181.93,49612.47059,1,3397400.885,2.538,84.688,60.539,43051997.65,535.48,0,0,1662856.023,3.778,71.745,29.631,1485105.882,19.21,8146597.882,12,1008377.247,3.259,56.645,17.968,23175661.88,235.3,0,0,0,0,0,0,0,0,0,0
5/1/2022,597626.267,1400.351,1969060.65,3.198,71.925,34.987,2.055763569,2.056928023,2.055618912,2.051855773,2.050297303,2.050076113,426.7689079,428.7408134,429.6070447,432.9636385,431.7901846,432.8286929,34.55,4.015325561,2.659663679,6.67498924,25341807.71,141.4,2263800,1679100,1316200,987150,789720,9355979.133,7,93227,12585829,200000,46294,5063566,620992.584,200000,7298,15352056,0,0,1020992.584,1020992.584,2183338.829,3.007,65.225,38.794,14539251.08,203.37,20288320.71,34,3368619.963,2.577,84.383,59.854,45807520,501.61,0,0,1671907.875,3.85,71.248,29.707,0,0,170068,2,997507.655,3.369,56.295,17.724,44249074.73,418.84,1,0,0,0,0,0,0,0,0,0
